"","X.x","GEOID","countyFIPS","POPULATION","POP_DENSITY","Shape_Area","NUM_WORKERS","EMPLOYMENT_DENSITY","No..Hospitals","No..Populated.Places","Total.Points.of.Interest","exposure_entropy","ALAND","cases1","cases2","cases3","cases4","income","X.y","exposure1","exposure2","exposure3","exposure4","county_pop","estimate_cases1","estimate_cases2","estimate_cases3","estimate_cases4","estimate_cases1_density","estimate_cases2_density","estimate_cases3_density","estimate_cases4_density","pop_density_class","income_class","change12exposure","change23exposure","change34exposure","change12casedensity","change23casedensity","change34casedensity"
"1",0,17091011700,17091,3417,7.05987286464,6.6359397847e-05,46799,2.4421255746775,0,0,8,2.40953952932858,2370100,1,845,1207,3786,20571.874,0,2.59488476157217e-05,7.17056708534664e-05,0.000161105992638936,0.000186921610018911,113449,0.0301192606369382,25.4507752382128,36.3539475887844,114.031520771448,0.032913752605236,27.8121209514244,39.7268993945199,124.611467363424,"3","1",1.76334702470648,1.24676780401599,0.160239957292164,844,0.428402366863905,2.13670256835128
"2",1,17091011800,17091,2627,5.83879439916,9.8985790421e-05,46799,1.3272683497515,0,1,3,2.45987429846009,1791332,1,845,1207,3786,60197.261,0,2.50891361973509e-05,6.93299898634051e-05,0.000155920370265999,0.000180805866303782,113449,0.0231557792488255,19.5666334652575,27.9490255533323,87.6677802360532,0.0334798173953561,28.2904456990759,40.4101395961948,126.754588658818,"2","2",1.76334702470647,1.24895994609541,0.159603879822302,844,0.428402366863905,2.13670256835128
"3",2,17119400951,17119,4966,3.77242790847,0.000184364584662,1237055,0.566353191575033,0,0,4,2.06309870711242,5169973,1,512,864,7592,71223.484,0,4.32009682338669e-05,7.23339464155615e-05,0.000161691302846425,0.000556482762306625,269282,0.0184416336777059,9.44211644298542,15.9335714975379,140.008882881143,0.00923870032304971,4.73021456540145,7.98223707911495,70.1402128525934,"2","3",0.67435938065055,1.23534468750677,2.44163694960869,511,0.6875,7.78703703703704
"4",3,17119400952,17119,3335,2.7777859108,0.000313628063658,1237055,0.242828196371,0,1,2,2.79806730118319,5751299,1,512,864,7592,57223.811,0,1.4677863931035e-05,2.45760191608408e-05,5.50438037361255e-05,0.000189392480263883,269282,0.0123847862092528,6.34101053913741,10.7004552847944,94.0252969006469,0.0055772785038588,2.85556659397571,4.81876862733401,42.342698401296,"2","2",0.674359380650544,1.23973636152725,2.44075931183483,511,0.6875,7.78703703703704
"5",4,17135957500,17135,3273,0.128182617555925,0.011776500483063,0,0.040990093246667,0,7,49,1.03947547193247,450037682,0,39,44,671,68961.929,0,0,0,0,0,30104,0,4.240200637789,4.7838161041722,72.9531955886261,0,0.0244026669123976,0.0275312139524486,0.41985101277484,"1","2",0,0,0,Inf,0.128205128205128,14.25
"6",5,17119401100,17119,6505,6.920252490805,6.7116306195e-05,1237055,2.569606622285,1,1,22,2.62687747690336,3892851,1,512,864,7592,57324.648,0,2.4937092404869e-05,4.17536545942421e-05,9.33478525106457e-05,0.000321276855644053,269282,0.024156831871421,12.3682979181676,20.8715027369078,183.398667567829,0.0160720753368111,8.22890257244729,13.8862730910048,122.01919595707,"3","2",0.674359380650557,1.23568100607698,2.44171662232308,511,0.6875,7.78703703703704
"7",6,17119401500,17119,2763,6.07152674655,0.000127574742303,1237055,0.4874631792503,0,1,3,2.37005373202389,3676720,1,512,864,7592,45088.228,0,4.93104931937641e-06,8.25634868434842e-06,1.84607122866923e-05,6.35372551352291e-05,269282,0.0102606189793599,5.25343691743228,8.86517479816698,77.8986192913006,0.00722791051713,3.70069018477056,6.24491468680032,54.874296646051,"2","1",0.674359380650554,1.23594145456675,2.44175534229149,511,0.6875,7.78703703703704
"8",7,17119401722,17119,2684,5.374394120795,0.000116799788721,1237055,2.00862236603,0,1,1,2.71862673735379,2243730,1,512,864,7592,58808.054,0,7.9885890079315e-06,1.3375768943592e-05,2.99478188472764e-05,0.000103086487501757,269282,0.00996724623257403,5.1032300710779,8.61170074494396,75.671333397702,0.0115054697946574,5.89080053486461,9.94072590258403,87.3495266810393,"2","2",0.674359380650554,1.23896053928351,2.44220352164751,511,0.6875,7.78703703703704
"9",8,17189950200,17189,3795,0.06078197239748,0.00862914874631,0,0.015509767953752,0,10,30,1.5324347769259,417752856,1,18,19,351,78230.491,0,0.000341044270853818,2.00752971370741e-05,3.43762517198406e-05,0.000220463116730842,14716,0.25788257678717,4.64188638216907,4.89976895895624,90.5167844522968,0.00159883017981993,0.0287789432367588,0.0303777734165788,0.561189393116797,"1","3",-0.941135803024004,0.712365773971844,5.41323895716064,17,0.0555555555555557,17.4736842105263
"10",9,17189950400,17189,4231,0.04042634898282,0.012109212001362,0,0.00632505359853,0,12,48,1.12972441590069,586329233,1,18,19,351,75449.953,0,0.000259486608012049,1.52744708066543e-05,2.66550478737981e-05,0.000168531628671664,14716,0.287510192987225,5.17518347377005,5.46269366675727,100.916077738516,0.0012700226390331,0.0228604075025958,0.0241304301416289,0.445777946300617,"1","3",-0.941135803024004,0.745071774413673,5.3226909015358,17,0.0555555555555558,17.4736842105263
"11",10,17189950300,17189,3355,1.009584681235,0.000764929124416,0,0.59462233475,1,1,15,0.742043077168445,30445243,1,18,19,351,70377.576,0,0.000493009807295103,2.90206264077167e-05,5.00436357697637e-05,0.000321203853531017,14716,0.227983147594455,4.10369665670019,4.33167980429465,80.0220848056537,0.019394699929629,0.349104598733322,0.368499298662951,6.80753967529979,"1","3",-0.941135803024004,0.724416112412268,5.4184755681778,17,0.0555555555555555,17.4736842105263
"12",11,17189950100,17189,3335,0.08006938119838,0.008754446204996,0,0.016147297115068,0,9,41,1.87434715877167,422566185,1,18,19,351,68195.322,0,0.000121040629950928,7.12495948353003e-06,1.20873900048109e-05,7.85036931704948e-05,14716,0.22662408263115,4.0792334873607,4.30585756999185,79.5450530035336,0.00138902826314576,0.0250025087366236,0.0263915369997693,0.48754892036416,"1","2",-0.941135803024004,0.696485437250827,5.49467694343029,17,0.0555555555555556,17.4736842105263
"13",12,17161024000,17161,4106,0.934034463323,0.000635045511996,168173,0.186748149749675,0,1,11,2.68600487690487,23167384,0,624,896,4419,83572.892,0,0,0,0,0,147546,0,17.36505225489,24.9344340070215,122.974624862755,0,1.94132774508184,2.78754753139957,13.7479604255075,"1","3",0,0,0,Inf,0.435897435897436,3.93191964285714
"14",13,17161024400,17161,1943,5.34152475904,0.000203072930857,168173,1.80624962505,0,0,3,1.91608823362292,2777653,0,624,896,4419,27603.337,0,0,0,0,0,147546,0,8.21731527794722,11.7992219375652,58.1928144443089,0,7.66216894978721,11.0020887484124,54.2614176107527,"2","1",0,0,0,Inf,0.435897435897436,3.93191964285714
"15",14,17119403401,17119,3923,4.06796013337,0.000178909128638,1237055,1.006151025953,0,1,5,3.40717216806374,3439193,1,512,864,7592,75912.473,0,3.41112912871092e-05,5.71145605526746e-05,0.000130211172787923,0.000447330523435554,269282,0.0145683707043174,7.45900580061051,12.5870722885302,110.603070387178,0.0109712017104542,5.61725527575255,9.47911827783242,83.2933633857682,"2","3",0.67435938065055,1.27982447081658,2.43542350366606,511,0.6875,7.78703703703704
"16",15,17119403531,17119,8226,2.4779322386844,0.000508097442006,1237055,0.526546426506,0,1,19,2.87554581167641,24141657,1,512,864,7592,86664.174,0,0.000121571812962429,0.000203554905456337,0.000464393764572813,0.00158371582473952,269282,0.0305479014564657,15.6405255457104,26.3933868583864,231.919667857488,0.00327728394004795,1.67796937730455,2.83157332420143,24.881139672844,"1","3",0.674359380650546,1.28141770168455,2.41028658340481,511,0.6875,7.78703703703704
"17",16,17119401701,17119,2570,1.608621152207,0.000604489590645,1237055,0.20069007187755,1,1,5,2.54269777225583,11398464,1,512,864,7592,37553.858,0,5.1901177482142e-06,8.69012233840342e-06,1.94267857818747e-05,6.6860974423928e-05,269282,0.00954389821822476,4.88647588773108,8.24592806054619,72.4572752727624,0.00216859889062264,1.11032263199879,1.87366944149796,16.4640027776071,"1","1",0.674359380650562,1.23550199011857,2.4416900034132,511,0.6875,7.78703703703704
"18",17,17119403402,17119,6031,4.0363777305405,0.00021436692314,1237055,0.65226074009325,0,0,4,3.34861442554894,8280082,1,512,864,7592,50368.803,0,5.23058903386963e-05,8.75788581518751e-05,0.000198384896942304,0.000683644377302161,269282,0.0223965953907057,11.4670568400413,19.3506584175697,170.034952206237,0.00700562893724092,3.58688201586735,6.05286340177615,53.186734891533,"2","2",0.674359380650548,1.26521447217631,2.44605052017133,511,0.6875,7.78703703703704
"19",18,17089853100,17089,3008,8.90483052419,7.7753794174e-05,4066635,5.051244360828,0,0,7,2.75669862102894,1436221,8,6083,7434,18294,59494.481,0,3.17237987109691e-05,7.88845102749747e-05,0.00014272061645596,0.000132442751690419,515269,0.0467018198261491,35.5108962503081,43.397666073449,106.795386487446,0.0842194295653148,64.0383487557263,78.2609049235688,192.588780558484,"3","2",1.48660354309016,0.809234993770841,-0.0720138759259934,759.375,0.222094361334868,1.46085552865214
"20",19,17089853200,17089,6179,15.4130683308333,6.4470051705e-05,4066635,2.31887296678067,1,0,12,3.40942754847878,1693159,8,6083,7434,18294,49544.3,0,0.000173595372806249,0.000431662869084076,0.000779344881757124,0.000727004959775496,515269,0.0959343566176114,72.9460864131163,89.1470008869154,219.377889995323,0.146749350556926,111.584537429722,136.366834005023,335.579077386049,"3","2",1.48660354309016,0.805448041919326,-0.0671588704908421,759.375,0.222094361334867,1.46085552865214
"21",20,17193958400,17193,3316,0.476073777778833,0.01554711338251,0,0.05360272520945,0,12,38,1.7176740515132,446496591,0,2,4,294,67025.541,0,0,0,0,0,14665,0,0.452233208319127,0.904466416638254,66.4782816229117,0,0.00262327648890502,0.00524655297781003,0.385621643869038,"1","2",0,0,0,Inf,1,72.5
"22",21,17193958300,17193,2677,0.033149334058267,0.011945416395983,0,0.006384319984,0,8,51,1.92124222839374,347259141,0,2,4,294,56527.169,0,0,0,0,0,14665,0,0.36508694169792,0.73017388339584,53.6677804295943,0,0.00272296699310678,0.00544593398621356,0.400276147986697,"1","2",0,0,0,Inf,1,72.5
"23",22,17193958200,17193,2880,0.0446916293826,0.016327895645177,0,0.012531678609,0,9,63,1.27324407173641,468845656,0,2,4,294,59309.942,0,0,0,0,0,14665,0,0.392771905898398,0.785543811796795,57.7374701670644,0,0.00216975293096637,0.00433950586193274,0.318953680852056,"1","2",0,0,0,Inf,1,72.5
"24",23,17135957700,17135,3103,1.75183486725667,0.000263389132869,0,0.747750800516333,1,0,14,1.12241581389373,7578907,0,39,44,671,43096.332,0,0,0,0,0,30104,0,4.01996412436885,4.53534414031358,69.1639981397821,0,1.37377422392376,1.5498991244268,23.6359616475088,"1","1",0,0,0,Inf,0.128205128205128,14.25
"25",24,17135958000,17135,5809,0.114911291024225,0.00996239038644,0,0.023600354503678,0,7,47,2.84379210554041,378274407,0,39,44,671,62053.265,0,0,0,0,0,30104,0,7.52561121445655,8.4904331650279,129.479105766676,0,0.0515269674203533,0.0581329888845012,0.886528080488643,"1","2",0,0,0,Inf,0.128205128205128,14.25
"26",25,17135957400,17135,2491,0.575001964484267,0.009987422111601,0,0.043682156439777,0,2,33,1.71717359945576,284477129,0,39,44,671,58097.612,0,0,0,0,0,30104,0,3.22711267605634,3.64084507042254,55.5228873239437,0,0.0293809975528328,0.0331477921108883,0.505503829691047,"1","2",0,0,0,Inf,0.128205128205128,14.25
"27",26,17135957600,17135,3481,0.0371605515926,0.015256167220853,0,0.019305042947723,0,8,42,1.86023028267854,433485876,0,39,44,671,73644.986,0,0,0,0,0,30104,0,4.50966648950306,5.08782885995217,77.5893901142705,0,0.0269444446854663,0.0303988606707825,0.463582625229433,"1","3",0,0,0,Inf,0.128205128205128,14.25
"28",27,17135957800,17135,3424,2.34308414895,0.000231221597723,0,1.03735911258567,0,1,10,1.74028689864571,6655096,0,39,44,671,55397.649,0,0,0,0,0,30104,0,4.43582248206218,5.00451767207016,76.3188944990699,0,1.72631322351189,1.94763543165444,29.7014403327301,"1","2",0,0,0,Inf,0.128205128205128,14.25
"29",28,17135957300,17135,3483,0.619058156082467,0.008054499415453,0,0.186232885657127,0,4,36,1.40644221332812,231414470,0,39,44,671,69768.684,0,0,0,0,0,30104,0,4.512257507308,5.09075205952697,77.6339689077863,0,0.0505013664181316,0.0569759005743023,0.86888248375811,"1","3",0,0,0,Inf,0.128205128205128,14.25
"30",29,17135957900,17135,5040,1.5158995936078,0.000682472664744,0,0.55402653612998,1,4,30,0.654205085665887,30802899,0,39,44,671,59772.155,0,0,0,0,0,30104,0,6.52936486845602,7.36646292851448,112.338559659846,0,0.549008553035904,0.619394264963584,9.44576254069465,"1","2",0,0,0,Inf,0.128205128205128,14.25
"31",30,17143004600,17143,5499,3.008508537787,0.000606497456076,170560,0.917849198725,1,2,16,2.30189771220451,20939555,3,213,459,5004,61066.785,0,0.000139462945192933,3.23814207580525e-05,0.000100372108656892,0.000412971907057871,186494,0.0884586099284695,6.28056130492134,13.5341673190558,147.548961360687,0.0109413881868424,0.776838561265808,1.67403239258688,18.2502354956531,"2","2",-0.767813445261349,2.09968204937184,3.11440899851529,70,1.15492957746479,9.90196078431373
"32",31,17093890700,17093,15257,0.3096352995746,0.007925438239166,4066635,0.030860529294988,0,7,50,4.03762068694632,366785993,2,756,933,3053,95469.185,0,0.00167520541493174,0.00207080205191574,0.00371881031274787,0.00458478570822798,114736,0.265949658346116,100.528970854832,124.065515618463,405.972153465347,0.00187796052265399,0.709869077563207,0.876068583818085,2.86670673783131,"1","4",0.236148136495916,0.7958309000648,0.232863556528171,377,0.234126984126984,2.27224008574491
"33",32,17093890201,17093,4389,10.2426928163367,7.3544082799e-05,4066635,0.271999296808767,0,0,1,3.1587838036682,2058375,2,756,933,3053,86933.121,0,0.000146206516306642,0.000180732912676016,0.000331496062993105,0.000408866939936151,114736,0.0765060660995677,28.9192929856366,35.6900798354483,116.78650990099,0.0962656033025471,36.3883980483628,44.9079039406382,146.949443441338,"3","3",0.236148136495914,0.834176509883123,0.233399082464079,377,0.234126984126984,2.27224008574491
"34",33,17093890400,17093,26230,2.649114018235,0.002009288728024,4066635,1.11186687887848,0,3,23,3.52748408301308,73427873,2,756,933,3053,100025.38,0,0.00503648254655533,0.00622583851441856,0.0114059894625528,0.0140576188706796,114736,0.457223539255334,172.830497838516,213.294781062613,697.951732673267,0.0161275128679175,6.09619986407283,7.52348475288353,24.6186483928761,"2","4",0.236148136495913,0.832040685947352,0.232476929496771,377,0.234126984126984,2.27224008574491
"35",34,17093890202,17093,2892,8.69458075595333,4.8740533105e-05,4066635,0.132398436603333,0,1,2,2.62363727310723,1374394,2,756,933,3053,65075.879,0,5.38379691134821e-05,6.65517051923557e-05,0.000122224254863739,0.000150755723289786,114736,0.0504113791660856,19.0555013247804,23.5169083809789,76.9529702970297,0.0949985754013491,35.90946150171,44.3168354247293,145.015325350159,"3","2",0.236148136495917,0.836530777242628,0.23343540492724,377,0.234126984126984,2.27224008574491
"36",35,17093890500,17093,13076,3.9000184158605,0.001654985060423,4066635,0.872524592488733,0,2,19,2.98876889158608,91232897,2,756,933,3053,81074.646,0,0.00133551074014233,0.00165088911269722,0.00306505423072228,0.0037397890036756,114736,0.22793194812439,86.1582763910194,106.330253800028,347.938118811881,0.00647073331061897,2.44593719141397,3.01859708940375,9.87757439865986,"2","3",0.236148136495914,0.856608179888353,0.220137955860676,377,0.234126984126984,2.27224008574491
"37",36,17093890600,17093,9414,0.59096807327295,0.00530414670291,4066635,0.268950582916757,0,10,35,2.80225519900452,194870662,2,756,933,3053,97470.936,0,0.000671188366611019,0.000829688248623947,0.00150956130313285,0.00186525876786031,114736,0.164098452098731,62.0292148933203,76.551927904058,250.496287128713,0.00218101065893497,0.824422029077418,1.01744147239316,3.32931277086423,"1","4",0.236148136495914,0.81943194403017,0.235629691877544,377,0.234126984126984,2.27224008574491
"38",37,17197881109,17197,4361,5.94293346513167,0.00030521990824,4066635,1.0675277458265,0,0,1,3.25545967040939,8494838,9,5237,6366,20212,111082.597,0,0.000140713038872277,0.000267764578488742,0.000447102112677947,0.000512942589053686,677560,0.0579269732569809,33.707062105201,40.9736790837712,130.091109274455,0.0176614151718468,10.2769812505513,12.4925076648863,39.6636137170408,"2","4",0.902912342983275,0.669758245102408,0.14726049040874,580.888888888889,0.215581439755585,2.17499214577443
"39",38,17143000200,17143,1868,8.25106564555,3.448413263e-05,170560,0.272674838604333,0,0,6,2.22563173879861,971326,3,213,459,5004,9048.721,0,3.64748697679026e-06,8.46897434595026e-07,2.60449834328927e-06,1.07967948154575e-05,186494,0.0300492241037245,2.13349491136444,4.59753128786985,50.1221058050125,0.0801249945215576,5.68887461103059,12.2591241617983,133.648490861958,"3","1",-0.767813445261349,2.07534092901664,3.14544122989228,70,1.15492957746479,9.90196078431373
"40",39,17143004102,17143,3266,2.034299708455,0.000366487179917,170560,0.2542360922385,0,1,4,2.88582443805107,6818076,3,213,459,5004,58920.625,0,4.83185776597707e-05,1.12189240766941e-05,3.45085230377524e-05,0.000143004337141694,186494,0.0525378832562978,3.73018971119714,8.03829613821356,87.6331892715047,0.0199577003298014,1.4169967234159,3.05352815045962,33.2894441501088,"1","2",-0.76781344526135,2.07592089953078,3.14402949048984,70,1.15492957746479,9.90196078431372
